4	8	7	
6	9	31	
9	1	1404	
11	1	1248	
13	9	__none__	
14	11	__none__	
16	2	12446	
17	2	26	
19	13	531	
24	22	49	
25	23	1443907	
34	__none__	__none__	
36	32	352	
39	33	45	
42	37	77	
48	40	31910	
59	45	43110	
61	__none__	__none__	
66	17	4521	
72	25	__none__	
79	58	62853	
80	26	124	
85	59	154	
88	61	98	
90	58	1466832	
104	39	112	
108	72	111	
109	71	2585	
120	83	__none__	
123	78	183	
126	58	127	
129	48	__none__	
134	71	206	
145	87	__none__	
146	30	152	
163	83	170	
164	91	699	
173	83	516	
174	96	__none__	
175	2089740	__none__	
176	91	207	
180	2089740	539	
192	91	258	
194	60	197	
227	146637	2943318	
231	62	1812	
234	91	12202	
246	71	176741	
260	91	307	
263	61	607	
264	104	__none__	
265	105	266	
289	109	298	
308	106	360	
328	59	7488	
330	63	332	
336	61	339	
337	111	342	
361	115	362	
371	49	396	
382	122	384	
387	134	__none__	
402	136	2530953	
419	268	17396	
427	123	__none__	
438	136	77397	
469	147	3040	
470	71	473	
482	77	509	
502	147	7090	
514	151	519	
535	154	541	
549	136	477578	
561	157	794	
562	__none__	__none__	
564	25	566	
580	91	586	
588	172	633	
594	116	595	
601	__none__	602	
609	179	__none__	
622	184	623	
626	136	723	
644	191	665	
650	143	655	
651	192	725	
657	115	669	
683	199	57833	
696	204	704	
705	91	707	
709	111	713	
717	__none__	799	
742	189	33957	
746	192	__none__	
752	192	755	
761	214	762	
766	1384652	1619	
769	79	781	
773	207	7286	
805	232	894	
810	233	820	
826	101	97294	
832	224	837	
833	186	838	
835	91	1023	
845	238	849	
855	93	858	
871	203	875	
879	58	885	
888	131	890	
898	200	__none__	
904	34	911	
905	204	942	
930	245	951	
935	246	938	
944	233	1016	
947	243	1028	
972	145	2982	
1005	85	37042	
1010	67	1074	
1024	234	171170	
1033	87	1056	
1037	231	1039	
1040	254	1044	
1041	__none__	17198991	
1042	2	1061	
1053	13	394225	
1064	__none__	1096	
1069	257	1073	
1070	236	1773	
1083	260	42406	
1104	236	1109	
1108	264	1130	
1131	91	1135	
1145	188	1154	
1156	264	1157	
1160	120	975299	
1171	280	28705	
1176	25	1186	
1180	281	1232	
1189	258	1190	
1229	__none__	__none__	
1237	230	1243	
1241	194	1275	
1261	292	1272	
1276	30	1338	
1284	__none__	__none__	
1292	192	1305	
1300	91	1673	
1304	121	1309	
1306	302	1318	
1311	306	__none__	
1313	2089740	74033	
1314	312	1319	
1323	2089740	__none__	
1329	83	1339	
1376	26	__none__	
1383	314	1393	
1384	230	__none__	
1387	__none__	__none__	
1390	60	1394	
1401	149	1418	
1408	58	1421	
1409	26	27335	
1417	287	1425	
1451	106	1477	
1453	58	1456	
1457	331	1468	
1476	92	13107	
1496	136	1517	
1503	27	1514	
1505	83	3507075	
1508	149	1525	
1528	93	1556	
1535	332	2047	
1584	40	44389	
1598	83	3490980	
1600	230	1793	
1607	72	1666	
1610	328	1621	
1615	25	1628	
1623	230	1667	
1625	204	1627	
1644	91	__none__	
1669	340	1672	
1679	55	1704	
1683	350	3020	
1709	349	1724	
1711	303	__none__	
1734	59	1780	
1746	137	1749	
1760	234	1821	
1762	137	1771	
1790	194	2017	
1829	30	1852	
1836	172	1843	
1848	36	1856	
1854	116	1857	
1873	242	1886	
1898	81	__none__	
1908	79	1945	
1936	364	1940	
1949	51	5310	
1982	2090742	47086	
1983	116	2277	
1988	122	63737	
1994	195	__none__	
1995	51	2001	
2027	46	__none__	
2034	137	2036	
2041	269	2310	
2043	369	2044	
2046	372	7641	
2048	298	2080	
2056	358	101561	
2092	__none__	__none__	
2120	383	2382	
2123	193	2223	
2134	380	2183	
2138	373	2147	
2154	383	2335	
2155	371	2928	
2158	340	2245	
2196	192	2373	
2209	396	2233	
2214	395	3443	
2222	266	8753	
2232	25	2400	
2250	383	2258	
2256	379	2490	
2262	383	2268	
2267	111	__none__	
2279	149	2314	
2300	193	2312	
2308	383	2320	
2311	394	2316	
2328	67	4910	
2332	137	2333	
2348	193	2393	
2349	26	2360	
2366	402	__none__	
2384	143	__none__	
2405	307	2444	
2432	95	2462	
2447	__none__	__none__	
2472	116	2477	
2481	152	2511	
2482	311	2513	
2483	91	2487	
2486	277	2514	
2488	58	2495	
2509	303	2548	
2518	26	10020	
2524	417	151931	
2525	350	8739	
2527	428	2546	
2530	307	2531	
2540	136	2697	
2543	136	2564	
2550	308	2560	
2556	136	100758	
2563	307	2801	
2588	423	1780172	
2630	17	64636	
2639	434	2712	
2647	383	2657	
2649	434	2653	
2658	406	2668	
2688	432	2741	
2702	357	2736	
2709	434	__none__	
2711	45	2763	
2714	434	2715	
2732	75	11668996	
2742	304	__none__	
2750	435	2761	
2756	431	2762	
2765	443	2774	
2767	396	75338	
2770	447	2779	
2773	422	2883	
2775	434	3696991	
2778	415	2805	
2780	45	2789	
2785	33	2839	
2786	404	2944	
2798	116	2803	
2804	328	2808	
2809	437	2842	
2811	448	2825	
2815	116	2819	
2840	383	2843	
2844	432	2850	
2861	116	2866	
2871	206	2887	
2872	446	2901	
2873	381	2927	
2874	441	__none__	
2898	25	2905	
2900	454	2975	
2913	277	2918	
2914	434	2917	
2931	360	__none__	
2933	1384652	2937	
2942	100	3011	
2959	227	__none__	
2968	362	2985	
2970	58	2976	
2987	324	2992	
2988	861	2999	
2993	155	3012	
3004	364	3008	
3017	391	3029	
3021	358	__none__	
3027	439	__none__	
3033	219	3360	
3045	271	3053	
3049	462	3054	
3057	58	3062	
3058	358	3140	
3061	121	3071	
3067	291	__none__	
3075	404	3084	
3088	92	__none__	
3106	327	3119	
3112	219	3134	
3136	87	3139	
3143	253	880219	
3144	475	3146	
3147	380	__none__	
3150	370	35963	
3157	476	4449	
3163	22	10030	
3164	192	3218	
3180	479	3188	
3196	230	3197	
3213	383	3267	
3224	486	3225	
3230	370	10141	
3231	381	842632	
3234	231	14496	
3255	46	4852666	
3260	186	3288	
3272	377	5101	
3281	484	4270	
3284	493	3294	
3315	503	3316	
3319	383	3321	
3362	357	13130	
3385	384	10747	
3400	35	__none__	
3404	547	3409	
3408	514	166705	
3432	1384652	3466	
3437	308	20612	
3448	342	3492	
3452	437	34153	
3470	383	3473	
3486	527	3827	
3510	383	3511	
3512	517	3552	
3530	1388162	3543	
3544	30	3561	
3567	230	3578	
3585	124	3601	
3589	44	3609	
3607	58	370131	
3611	402	3618	
3615	534	__none__	
3625	549	102129	
3654	269	3655	
3666	26	__none__	
3667	556	29213	
3682	136	155901	
3713	557	3777	
3725	551	3776	
3739	__none__	__none__	
3748	514	__none__	
3757	404	3762	
3781	381	3782	
3790	560	3833	
3793	205	1704579	
3798	547	__none__	
3801	91	3824	
3802	59	3874	
3809	479	3812	
3823	423	3848	
3831	83	3855	
3839	547	3860	
3856	26	3880	
3859	1384652	3865	
3867	42	3941	
3868	163	3958	
3881	122	3886	
3894	76	3897	
3903	560	3911	
3927	121	100490	
3942	443	4238	
3975	162	5907	
3976	556	__none__	
3978	572	3998	
3984	571	418605	
3996	575	4043	
4004	525	__none__	
4034	571	4346	
4046	527	4902	
4051	381	4192	
4052	576	4139	
4062	1384652	4222	
4072	122	13738	
4080	235	79845	
4110	369	4126	
4138	83	4140	
4149	488	154588	
4151	453	__none__	
4157	551	4220	
4164	50	4209	
4168	588	4577	
4170	__none__	4204	
4208	55	4332	
4219	423	4228	
4221	519	__none__	
4225	364	4281	
4227	91	4735712	
4230	392	4244	
4234	590	4260	
4242	122	4247	
4246	162	4271	
4269	357	__none__	
4287	121	4304	
4303	358	4310	
4305	34	__none__	
4306	522	4311	
4314	358	4322	
4320	1525924	__none__	
4335	20207	13097	
4347	522	4597	
4363	396	4386	
